t,NO2
2021-07-02,nan
2021-07-02,nan
2021-07-02,nan
2021-07-02,nan
2021-07-03,2.5868869e-05
2021-07-03,1.0199856e-05
2021-07-03,3.8529706e-06
2021-07-03,1.0199856e-05
2021-07-04,3.416551e-05
2021-07-04,3.416551e-05
2021-07-04,3.416551e-05
2021-07-04,3.416551e-05
2021-07-05,2.4149418e-05
2021-07-05,1.3806318e-05
2021-07-05,1.2157167e-05
2021-07-05,2.0446474e-05
2021-07-06,2.6065687e-05
2021-07-06,1.6080072e-05
2021-07-06,2.3348528e-05
2021-07-06,2.1257134e-05
2021-07-07,2.416405e-05
2021-07-07,2.2920403e-05
2021-07-07,8.788022e-06
2021-07-07,-1.7321566e-06
2021-07-08,nan
2021-07-08,nan
2021-07-08,nan
2021-07-08,nan
2021-07-09,nan
2021-07-09,nan
2021-07-09,nan
2021-07-09,nan
2021-07-10,-5.2711084e-06
2021-07-10,1.1994999e-05
2021-07-10,-5.2711084e-06
2021-07-10,-4.053636e-06
2021-07-11,1.9349283e-05
2021-07-11,1.795333e-05
2021-07-11,-6.026746e-06
2021-07-11,1.795333e-05
2021-07-12,nan
2021-07-12,nan
2021-07-12,nan
2021-07-12,nan
2021-07-13,1.7049322e-05
2021-07-13,2.1228974e-05
2021-07-13,3.0936226e-05
2021-07-13,1.8562692e-05
2021-07-14,1.2937821e-05
2021-07-14,nan
2021-07-14,2.3568298e-05
2021-07-14,nan
2021-07-15,1.5000426e-05
2021-07-15,3.356532e-06
2021-07-15,1.5000426e-05
2021-07-15,3.356532e-06
2021-07-16,nan
2021-07-16,-3.35688e-05
2021-07-16,nan
2021-07-16,3.0148447e-05
2021-07-17,nan
2021-07-17,nan
2021-07-17,nan
2021-07-17,nan
2021-07-18,1.1767466e-05
2021-07-18,1.23398495e-05
2021-07-18,1.1767466e-05
2021-07-18,2.6823738e-05
2021-07-19,1.1586203e-05
2021-07-19,2.2200618e-05
2021-07-19,1.1586203e-05
2021-07-19,1.406056e-05
2021-07-20,2.2634897e-07
2021-07-20,1.7563987e-05
2021-07-20,2.2634897e-07
2021-07-20,1.068915e-05
2021-07-21,1.9395316e-05
2021-07-21,2.8857361e-05
2021-07-21,1.070055e-05
2021-07-21,1.9628986e-05
2021-07-22,nan
2021-07-22,nan
2021-07-22,nan
2021-07-22,nan
2021-07-23,3.0281415e-05
2021-07-23,-2.8306437e-07
2021-07-23,1.8077239e-05
2021-07-23,9.669396e-06
2021-07-24,2.7080681e-05
2021-07-24,2.7080681e-05
2021-07-24,9.689737e-06
2021-07-24,1.3018339e-05
2021-07-25,8.013834e-06
2021-07-25,8.013834e-06
2021-07-25,8.013834e-06
2021-07-25,1.035385e-05
2021-07-26,7.5223625e-06
2021-07-26,1.16099445e-05
2021-07-26,-3.3849556e-06
2021-07-26,-1.5881831e-06
2021-07-27,1.1814018e-05
2021-07-27,2.2847931e-05
2021-07-27,7.1380083e-07
2021-07-27,2.2847931e-05
2021-07-28,2.1693651e-05
2021-07-28,1.6933975e-05
2021-07-28,-5.8901276e-07
2021-07-28,1.1555366e-05
2021-07-29,8.190797e-06
2021-07-29,1.2208557e-05
2021-07-29,2.298134e-05
2021-07-29,5.1602924e-06
2021-07-30,1.697219e-05
2021-07-30,nan
2021-07-30,3.699531e-05
2021-07-30,nan
2021-07-31,4.6753676e-06
2021-07-31,nan
2021-07-31,1.1003276e-05
2021-07-31,-5.146379e-06
2021-08-01,1.0708433e-05
2021-08-01,2.224475e-05
2021-08-01,8.465929e-06
2021-08-01,1.6922528e-05
2021-08-02,nan
2021-08-02,nan
2021-08-02,nan
2021-08-02,nan
2021-08-03,1.3492084e-05
2021-08-03,1.8714509e-05
2021-08-03,1.3492084e-05
2021-08-03,9.035285e-06
2021-08-04,6.520723e-06
2021-08-04,6.989499e-06
2021-08-04,1.0965503e-05
2021-08-04,4.103931e-06
2021-08-05,1.228324e-05
2021-08-05,2.8058275e-05
2021-08-05,1.228324e-05
2021-08-05,2.4020192e-05
2021-08-06,-3.9450975e-07
2021-08-06,-8.9709265e-06
2021-08-06,-8.853517e-06
2021-08-06,-7.2652056e-06
2021-08-07,nan
2021-08-07,nan
2021-08-07,nan
2021-08-07,1.7606217e-05
2021-08-08,1.3872264e-05
2021-08-08,8.962413e-06
2021-08-08,5.923739e-06
2021-08-08,-2.6199536e-06
2021-08-09,1.5337719e-05
2021-08-09,1.5401285e-05
2021-08-09,1.9319883e-05
2021-08-09,1.5401285e-05
2021-08-10,1.607173e-05
2021-08-10,1.607173e-05
2021-08-10,2.0258398e-05
2021-08-10,2.0258398e-05
2021-08-11,2.3831015e-05
2021-08-11,1.5026226e-05
2021-08-11,2.3831015e-05
2021-08-11,1.5026226e-05
2021-08-12,8.23721e-06
2021-08-12,3.0892883e-05
2021-08-12,5.897699e-06
2021-08-12,3.0892883e-05
2021-08-13,7.438717e-06
2021-08-13,6.431218e-06
2021-08-13,4.979881e-07
2021-08-13,2.9687106e-05
2021-08-14,1.800102e-05
2021-08-14,4.826642e-06
2021-08-14,1.800102e-05
2021-08-14,1.4696457e-05
2021-08-15,-4.750074e-06
2021-08-15,nan
2021-08-15,-4.750074e-06
2021-08-15,nan
2021-08-16,6.1310375e-06
2021-08-16,1.4934517e-05
2021-08-16,6.1310375e-06
2021-08-16,1.4934517e-05
2021-08-17,1.3209911e-05
2021-08-17,-1.1838882e-06
2021-08-17,1.6854116e-05
2021-08-17,1.1020205e-05
2021-08-18,nan
2021-08-18,2.1260917e-05
2021-08-18,1.861171e-05
2021-08-18,2.1260917e-05
2021-08-19,nan
2021-08-19,nan
2021-08-19,2.4113206e-05
2021-08-19,nan
2021-08-20,2.5457395e-05
2021-08-20,-6.5622035e-06
2021-08-20,2.5457395e-05
2021-08-20,6.522848e-06
2021-08-21,1.0545619e-05
2021-08-21,1.0545619e-05
2021-08-21,1.7790608e-05
2021-08-21,1.7790608e-05
2021-08-22,4.899617e-06
