t,NO2,t-1,t-2,t-3,t-4,year,month,day,dayofweek,dayofyear,month_sin,month_cos,day_sin,day_cos
2022-03-19,1.3755008695652165e-07,-5.268522086956521e-07,-1.191254504347826e-06,8.654800727272725e-06,1.0301471363636364e-05,2022,3,19,5,78,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911
2022-03-19,8.019523826086958e-07,1.3755008695652165e-07,-5.268522086956521e-07,-1.191254504347826e-06,8.654800727272725e-06,2022,3,19,5,78,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911
2022-03-20,1.46635467826087e-06,8.019523826086958e-07,1.3755008695652165e-07,-5.268522086956521e-07,-1.191254504347826e-06,2022,3,20,6,79,1.0,6.123233995736766e-17,-0.7907757369376986,-0.6121059825476627
2022-03-20,2.130756973913044e-06,1.46635467826087e-06,8.019523826086958e-07,1.3755008695652165e-07,-5.268522086956521e-07,2022,3,20,6,79,1.0,6.123233995736766e-17,-0.7907757369376986,-0.6121059825476627
2022-03-20,2.7951592695652178e-06,2.130756973913044e-06,1.46635467826087e-06,8.019523826086958e-07,1.3755008695652165e-07,2022,3,20,6,79,1.0,6.123233995736766e-17,-0.7907757369376986,-0.6121059825476627
2022-03-20,3.459561565217392e-06,2.7951592695652178e-06,2.130756973913044e-06,1.46635467826087e-06,8.019523826086958e-07,2022,3,20,6,79,1.0,6.123233995736766e-17,-0.7907757369376986,-0.6121059825476627
2022-03-21,5.452768452173914e-06,3.459561565217392e-06,2.7951592695652178e-06,2.130756973913044e-06,1.46635467826087e-06,2022,3,21,0,80,1.0,6.123233995736766e-17,-0.8978045395707417,-0.44039415155763423
2022-03-21,6.117170747826087e-06,5.452768452173914e-06,3.459561565217392e-06,2.7951592695652178e-06,2.130756973913044e-06,2022,3,21,0,80,1.0,6.123233995736766e-17,-0.8978045395707417,-0.44039415155763423
2022-03-21,4.123963860869566e-06,6.117170747826087e-06,5.452768452173914e-06,3.459561565217392e-06,2.7951592695652178e-06,2022,3,21,0,80,1.0,6.123233995736766e-17,-0.8978045395707417,-0.44039415155763423
2022-03-21,4.78836615652174e-06,4.123963860869566e-06,6.117170747826087e-06,5.452768452173914e-06,3.459561565217392e-06,2022,3,21,0,80,1.0,6.123233995736766e-17,-0.8978045395707417,-0.44039415155763423
2022-03-22,6.781573043478262e-06,4.78836615652174e-06,4.123963860869566e-06,6.117170747826087e-06,5.452768452173914e-06,2022,3,22,1,81,1.0,6.123233995736766e-17,-0.9680771188662041,-0.2506525322587213
2022-03-22,7.445975339130435e-06,6.781573043478262e-06,4.78836615652174e-06,4.123963860869566e-06,6.117170747826087e-06,2022,3,22,1,81,1.0,6.123233995736766e-17,-0.9680771188662041,-0.2506525322587213
2022-03-22,8.11037763478261e-06,7.445975339130435e-06,6.781573043478262e-06,4.78836615652174e-06,4.123963860869566e-06,2022,3,22,1,81,1.0,6.123233995736766e-17,-0.9680771188662041,-0.2506525322587213
2022-03-22,8.774779930434783e-06,8.11037763478261e-06,7.445975339130435e-06,6.781573043478262e-06,4.78836615652174e-06,2022,3,22,1,81,1.0,6.123233995736766e-17,-0.9680771188662041,-0.2506525322587213
2022-03-23,9.439182226086956e-06,8.774779930434783e-06,8.11037763478261e-06,7.445975339130435e-06,6.781573043478262e-06,2022,3,23,2,82,1.0,6.123233995736766e-17,-0.9987165071710528,-0.05064916883871355
2022-03-23,1.0103584521739131e-05,9.439182226086956e-06,8.774779930434783e-06,8.11037763478261e-06,7.445975339130435e-06,2022,3,23,2,82,1.0,6.123233995736766e-17,-0.9987165071710528,-0.05064916883871355
2022-03-23,1.0767986817391305e-05,1.0103584521739131e-05,9.439182226086956e-06,8.774779930434783e-06,8.11037763478261e-06,2022,3,23,2,82,1.0,6.123233995736766e-17,-0.9987165071710528,-0.05064916883871355
2022-03-23,1.143238911304348e-05,1.0767986817391305e-05,1.0103584521739131e-05,9.439182226086956e-06,8.774779930434783e-06,2022,3,23,2,82,1.0,6.123233995736766e-17,-0.9987165071710528,-0.05064916883871355
2022-03-24,1.3425596e-05,1.143238911304348e-05,1.0767986817391305e-05,1.0103584521739131e-05,9.439182226086956e-06,2022,3,24,3,83,1.0,6.123233995736766e-17,-0.9884683243281114,0.15142777750457667
