t,NO2
2023-07-22,5.5462388e-06
2023-07-23,7.4089185e-06
2023-07-24,6.2531094e-06
2023-07-25,1.5576145e-05
2023-07-26,1.8492294e-05
2023-07-27,1.5966662e-05
2023-07-28,2.7773807e-05
2023-07-29,2.2054894e-05
2023-07-30,5.6631384e-06
2023-07-31,-3.3817305e-06
2023-08-01,7.903873e-06
2023-08-02,1.6407945e-05
2023-08-03,1.2776436e-05
2023-08-04,3.2987466e-06
2023-08-06,1.2277851e-05
2023-08-07,2.5016147e-06
2023-08-08,1.4467459e-05
2023-08-09,9.991916e-07
2023-08-10,2.2990163e-05
2023-08-11,2.5039635e-05
2023-08-12,2.2990796e-05
2023-08-13,-6.4523783e-07
2023-08-14,1.33888425e-05
2023-08-15,1.8909155e-05
2023-08-16,9.522239e-06
2023-08-17,-1.2779843e-06
2023-08-18,1.5280779e-05
2023-08-19,2.0341087e-05
2023-08-20,2.2433502e-05
2023-08-21,
2023-08-22,2.3354629e-05
2023-08-23,6.7111428e-06
2023-08-24,2.6130823e-05
2023-08-25,5.96165e-06
2023-08-26,2.81772e-05
2023-08-27,1.989871e-05
2023-08-28,-9.783378e-07
2023-08-29,3.134353e-05
2023-08-30,1.382644e-05
2023-08-31,1.9290268e-05
2023-09-01,1.9417022e-05
2023-09-02,7.770543e-06
2023-09-03,1.4104369e-05
2023-09-04,7.2397147e-06
2023-09-05,1.9181866e-06
2023-09-06,
2023-09-07,2.1730242e-05
2023-09-08,1.2119194e-05
2023-09-09,2.2479744e-05
2023-09-10,2.6804237e-05
2023-09-11,1.22202e-05
2023-09-12,2.1072156e-05
2023-09-13,1.5467213e-05
2023-09-14,9.776798e-06
2023-09-15,1.541842e-05
2023-09-16,6.958366e-06
2023-09-17,3.0149204e-05
2023-09-18,1.9836138e-05
2023-09-19,2.3407409e-05
2023-09-20,2.5374999e-05
2023-09-21,1.25224815e-05
2023-09-23,7.915528e-06
2023-09-24,1.5494013e-05
2023-09-25,1.1638586e-05
2023-09-26,2.4143486e-05
2023-09-27,1.3211344e-05
2023-09-28,2.2878718e-05
2023-09-29,1.3430879e-05
2023-09-30,9.1017655e-06
2023-10-01,2.0028032e-05
2023-10-02,3.060551e-05
2023-10-03,2.3467252e-05
2023-10-04,1.0098278e-05
2023-10-05,8.589079e-06
2023-10-06,8.205022e-06
2023-10-07,4.8482793e-06
2023-10-08,
2023-10-09,6.713721e-06
2023-10-10,1.563736e-05
2023-10-11,3.4055876e-05
2023-10-12,2.2453532e-05
2023-10-13,7.792818e-06
2023-10-14,1.3226317e-05
2023-10-15,2.0096868e-05
2023-10-16,2.2204891e-05
2023-10-17,1.5673077e-05
2023-10-18,-6.3194266e-06
2023-10-19,1.3718237e-05
2023-10-20,1.0721242e-05
2023-10-21,2.0147036e-05
2023-10-22,3.2341228e-05
2023-10-23,1.1870276e-05
2023-10-25,2.269871e-05
2023-10-26,3.1287254e-05
2023-10-27,1.3851976e-05
2023-10-28,1.5504165e-05
2023-10-29,1.8126057e-05
2023-10-30,
2023-10-31,1.5027087e-05
2023-11-01,1.1039938e-05
2023-11-02,2.2313303e-05
2023-11-03,
2023-11-04,
2023-11-05,
2023-11-06,1.1503118e-05
2023-11-07,
2023-11-08,2.7794827e-05
2023-11-10,
2023-11-12,
2023-11-13,2.0880936e-05
2023-11-14,
2023-11-15,1.6414444e-05
2023-11-16,3.861192e-06
2023-11-17,
2023-11-18,2.4809211e-05
2023-11-19,1.38182995e-05
2023-11-20,1.5996298e-05
2023-11-21,-1.2885787e-06
2023-11-22,5.2923024e-06
2023-11-23,
2023-11-24,
2023-11-26,1.4955176e-05
2023-11-27,
2023-11-28,
2023-11-29,
2023-11-30,
